Symbol,Name,Sector
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture,Information Technology
ADBE,Adobe Inc.,Information Technology
AMD,Advanced Micro Devices,Information Technology
AES,AES Corporation,Utilities
AFL,Aflac,Financials
A,Agilent Technologies,Health Care
APD,Air Products,Materials
ABNB,Airbnb,Consumer Discretionary
AKAM,Akamai Technologies,Information Technology
ALB,Albemarle Corporation,Materials
ARE,Alexandria Real Estate Equities,Real Estate
ALGN,Align Technology,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy,Utilities
ALL,Allstate,Financials
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
MO,Altria,Consumer Staples
AMZN,Amazon,Consumer Discretionary
AMCR,Amcor,Materials
AEE,Ameren,Utilities
AEP,American Electric Power,Utilities
AXP,American Express,Financials
AIG,American International Group,Financials
AMT,American Tower,Real Estate
AWK,American Water Works,Utilities
AMP,Ameriprise Financial,Financials
AME,Ametek,Industrials
AMGN,Amgen,Health Care
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
AON,Aon plc,Financials
APA,APA Corporation,Energy
APO,Apollo Global Management,Financials
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials,Information Technology
APP,AppLovin,Information Technology
APTV,Aptiv,Consumer Discretionary
ACGL,Arch Capital Group,Financials
ADM,Archer Daniels Midland,Consumer Staples
ARES,Ares Management,Financials
ANET,Arista Networks,Information Technology
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
T,AT&T,Communication Services
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Industrials
AZO,AutoZone,Consumer Discretionary
AVB,AvalonBay Communities,Real Estate
AVY,Avery Dennison,Materials
AXON,Axon Enterprise,Industrials
BKR,Baker Hughes,Energy
BALL,Ball Corporation,Materials
BAC,Bank of America,Financials
BAX,Baxter International,Health Care
BDX,Becton Dickinson,Health Care
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy,Consumer Discretionary
TECH,Bio-Techne,Health Care
BIIB,Biogen,Health Care
BLK,BlackRock,Financials
BX,Blackstone Inc.,Financials
XYZ,"Block, Inc.",Financials
BK,BNY Mellon,Financials
BA,Boeing,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BSX,Boston Scientific,Health Care
BMY,Bristol Myers Squibb,Health Care
AVGO,Broadcom,Information Technology
BR,Broadridge Financial Solutions,Industrials
BRO,Brown & Brown,Financials
BF.B,Brown–Forman,Consumer Staples
BLDR,Builders FirstSource,Industrials
BG,Bunge Global,Consumer Staples
BXP,"BXP, Inc.",Real Estate
CHRW,C.H. Robinson,Industrials
CDNS,Cadence Design Systems,Information Technology
CPT,Camden Property Trust,Real Estate
CPB,Campbell's Company (The),Consumer Staples
COF,Capital One,Financials
CAH,Cardinal Health,Health Care
CCL,Carnival,Consumer Discretionary
CARR,Carrier Global,Industrials
CVNA,Carvana,Consumer Discretionary
CASY,Casey's,Consumer Staples
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CDW,CDW Corporation,Information Technology
COR,Cencora,Health Care
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CF,CF Industries,Materials
CRL,Charles River Laboratories,Health Care
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Communication Services
CVX,Chevron Corporation,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CIEN,Ciena,Information Technology
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas,Industrials
CSCO,Cisco,Information Technology
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CLX,Clorox,Consumer Staples
CME,CME Group,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola Company (The),Consumer Staples
CTSH,Cognizant,Information Technology
COHR,Coherent Corp.,Information Technology
COIN,Coinbase,Financials
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
FIX,Comfort Systems USA,Industrials
CAG,Conagra Brands,Consumer Staples
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CEG,Constellation Energy,Utilities
COO,Cooper Companies (The),Health Care
CPRT,Copart,Industrials
GLW,Corning Inc.,Information Technology
CPAY,Corpay,Financials
CTVA,Corteva,Materials
CSGP,CoStar Group,Real Estate
COST,Costco,Consumer Staples
CTRA,Coterra,Energy
CRH,CRH plc,Materials
CRWD,CrowdStrike,Information Technology
CCI,Crown Castle,Real Estate
CSX,CSX Corporation,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Health Care
DHR,Danaher Corporation,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DDOG,Datadog,Information Technology
DVA,DaVita,Health Care
DECK,Deckers Brands,Consumer Discretionary
DE,Deere & Company,Industrials
DELL,Dell Technologies,Information Technology
DAL,Delta Air Lines,Industrials
DVN,Devon Energy,Energy
DXCM,Dexcom,Health Care
FANG,Diamondback Energy,Energy
DLR,Digital Realty,Real Estate
DG,Dollar General,Consumer Staples
DLTR,Dollar Tree,Consumer Staples
D,Dominion Energy,Utilities
DPZ,Domino's,Consumer Discretionary
DASH,DoorDash,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow Inc.,Materials
DHI,D. R. Horton,Consumer Discretionary
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
DD,DuPont,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,Consumer Discretionary
SATS,EchoStar,Communication Services
ECL,Ecolab,Materials
EIX,Edison International,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
ELV,Elevance Health,Health Care
EME,Emcor,Industrials
EMR,Emerson Electric,Industrials
ETR,Entergy,Utilities
EOG,EOG Resources,Energy
EPAM,EPAM Systems,Information Technology
EQT,EQT Corporation,Energy
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ERIE,Erie Indemnity,Financials
ESS,Essex Property Trust,Real Estate
EL,Estée Lauder Companies (The),Consumer Staples
EG,Everest Group,Financials
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon,Utilities
EXE,Expand Energy,Energy
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors International,Industrials
EXR,Extra Space Storage,Real Estate
XOM,ExxonMobil,Energy
FFIV,"F5, Inc.",Information Technology
FDS,FactSet,Financials
FICO,Fair Isaac,Information Technology
FAST,Fastenal,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx,Industrials
FIS,Fidelity National Information Services,Financials
FITB,Fifth Third Bancorp,Financials
FSLR,First Solar,Information Technology
FE,FirstEnergy,Utilities
FISV,Fiserv,Financials
F,Ford Motor Company,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan,Materials
GRMN,Garmin,Consumer Discretionary
IT,Gartner,Information Technology
GE,GE Aerospace,Industrials
GEHC,GE HealthCare,Health Care
GEV,GE Vernova,Industrials
GEN,Gen Digital,Information Technology
GNRC,Generac,Industrials
GD,General Dynamics,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts Company,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments,Financials
GL,Globe Life,Financials
GDDY,GoDaddy,Information Technology
GS,Goldman Sachs,Financials
HAL,Halliburton,Energy
HIG,Hartford (The),Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,Health Care
DOC,Healthpeak Properties,Real Estate
HSIC,Henry Schein,Health Care
HSY,Hershey Company (The),Consumer Staples
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide,Consumer Discretionary
HD,Home Depot (The),Consumer Discretionary
HON,Honeywell,Industrials
HRL,Hormel Foods,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP Inc.,Information Technology
HUBB,Hubbell Incorporated,Industrials
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IBM,IBM,Information Technology
IEX,IDEX Corporation,Industrials
IDXX,Idexx Laboratories,Health Care
ITW,Illinois Tool Works,Industrials
INCY,Incyte,Health Care
IR,Ingersoll Rand,Industrials
PODD,Insulet Corporation,Health Care
INTC,Intel,Information Technology
IBKR,Interactive Brokers,Financials
ICE,Intercontinental Exchange,Financials
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
IVZ,Invesco,Financials
INVH,Invitation Homes,Real Estate
IQV,IQVIA,Health Care
IRM,Iron Mountain,Real Estate
JBHT,J.B. Hunt,Industrials
JBL,Jabil,Information Technology
JKHY,Jack Henry & Associates,Financials
J,Jacobs Solutions,Industrials
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls,Industrials
JPM,JPMorgan Chase,Financials
KVUE,Kenvue,Consumer Staples
KDP,Keurig Dr Pepper,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight Technologies,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KKR,KKR & Co.,Financials
KLAC,KLA Corporation,Information Technology
KHC,Kraft Heinz,Consumer Staples
KR,Kroger,Consumer Staples
LHX,L3Harris,Industrials
LH,Labcorp,Health Care
LRCX,Lam Research,Information Technology
LVS,Las Vegas Sands,Consumer Discretionary
LDOS,Leidos,Industrials
LEN,Lennar,Consumer Discretionary
LII,Lennox International,Industrials
LLY,Lilly (Eli),Health Care
LIN,Linde plc,Materials
LYV,Live Nation Entertainment,Communication Services
LMT,Lockheed Martin,Industrials
L,Loews Corporation,Financials
LOW,Lowe's,Consumer Discretionary
LULU,Lululemon Athletica,Consumer Discretionary
LITE,Lumentum,Information Technology
LYB,LyondellBasell,Materials
MTB,M&T Bank,Financials
MPC,Marathon Petroleum,Energy
MAR,Marriott International,Consumer Discretionary
MRSH,Marsh McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco,Industrials
MA,Mastercard,Financials
MKC,McCormick & Company,Consumer Staples
MCD,McDonald's,Consumer Discretionary
MCK,McKesson Corporation,Health Care
MDT,Medtronic,Health Care
MRK,Merck & Co.,Health Care
META,Meta Platforms,Communication Services
MET,MetLife,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM Resorts,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft,Information Technology
MAA,Mid-America Apartment Communities,Real Estate
MRNA,Moderna,Health Care
TAP,Molson Coors Beverage Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MPWR,Monolithic Power Systems,Information Technology
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corporation,Financials
MS,Morgan Stanley,Financials
MOS,Mosaic Company (The),Materials
MSI,Motorola Solutions,Information Technology
MSCI,MSCI Inc.,Financials
NDAQ,"Nasdaq, Inc.",Financials
NTAP,NetApp,Information Technology
NFLX,Netflix,Communication Services
NEM,Newmont,Materials
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
NEE,NextEra Energy,Utilities
NKE,"Nike, Inc.",Consumer Discretionary
NI,NiSource,Utilities
NDSN,Nordson Corporation,Industrials
NSC,Norfolk Southern,Industrials
NTRS,Northern Trust,Financials
NOC,Northrop Grumman,Industrials
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NRG,NRG Energy,Utilities
NUE,Nucor,Materials
NVDA,Nvidia,Information Technology
NVR,"NVR, Inc.",Consumer Discretionary
NXPI,NXP Semiconductors,Information Technology
ORLY,O’Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion,Industrials
OMC,Omnicom Group,Communication Services
ON,ON Semiconductor,Information Technology
OKE,Oneok,Energy
ORCL,Oracle Corporation,Information Technology
OTIS,Otis Worldwide,Industrials
PCAR,Paccar,Industrials
PKG,Packaging Corporation of America,Materials
PLTR,Palantir Technologies,Information Technology
PANW,Palo Alto Networks,Information Technology
PSKY,Paramount Skydance Corporation,Communication Services
PH,Parker Hannifin,Industrials
PAYX,Paychex,Industrials
PYPL,PayPal,Financials
PNR,Pentair,Industrials
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Health Care
PCG,PG&E Corporation,Utilities
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PNC,PNC Financial Services,Financials
POOL,Pool Corporation,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corporation,Utilities
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corporation,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PEG,Public Service Enterprise Group,Utilities
PTC,PTC Inc.,Information Technology
PSA,Public Storage,Real Estate
PHM,PulteGroup,Consumer Discretionary
PWR,Quanta Services,Industrials
QCOM,Qualcomm,Information Technology
DGX,Quest Diagnostics,Health Care
Q,Qnity Electronics,Information Technology
RL,Ralph Lauren Corporation,Consumer Discretionary
RJF,Raymond James Financial,Financials
RTX,RTX Corporation,Industrials
O,Realty Income,Real Estate
REG,Regency Centers,Real Estate
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial Corporation,Financials
RSG,Republic Services,Industrials
RMD,ResMed,Health Care
RVTY,Revvity,Health Care
HOOD,Robinhood Markets,Financials
ROK,Rockwell Automation,Industrials
ROL,"Rollins, Inc.",Industrials
ROP,Roper Technologies,Information Technology
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global,Financials
CRM,Salesforce,Information Technology
SNDK,Sandisk,Information Technology
SBAC,SBA Communications,Real Estate
SLB,Schlumberger,Energy
STX,Seagate Technology,Information Technology
SRE,Sempra,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group,Real Estate
SWKS,Skyworks Solutions,Information Technology
SJM,J.M. Smucker Company (The),Consumer Staples
SW,Smurfit Westrock,Materials
SNA,Snap-on,Industrials
SOLV,Solventum,Health Care
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks,Consumer Discretionary
STT,State Street Corporation,Financials
STLD,Steel Dynamics,Materials
STE,Steris,Health Care
SYK,Stryker Corporation,Health Care
SMCI,Supermicro,Information Technology
SYF,Synchrony Financial,Financials
SNPS,Synopsys,Information Technology
SYY,Sysco,Consumer Staples
TMUS,T-Mobile US,Communication Services
TROW,T. Rowe Price,Financials
TTWO,Take-Two Interactive,Communication Services
TPR,"Tapestry, Inc.",Consumer Discretionary
TRGP,Targa Resources,Energy
TGT,Target Corporation,Consumer Staples
TEL,TE Connectivity,Information Technology
TDY,Teledyne Technologies,Information Technology
TER,Teradyne,Information Technology
TSLA,"Tesla, Inc.",Consumer Discretionary
TXN,Texas Instruments,Information Technology
TPL,Texas Pacific Land Corporation,Energy
TXT,Textron,Industrials
TMO,Thermo Fisher Scientific,Health Care
TJX,TJX Companies,Consumer Discretionary
TKO,TKO Group Holdings,Communication Services
TTD,Trade Desk (The),Communication Services
TSCO,Tractor Supply,Consumer Discretionary
TT,Trane Technologies,Industrials
TDG,TransDigm Group,Industrials
TRV,Travelers Companies (The),Financials
TRMB,Trimble Inc.,Information Technology
TFC,Truist Financial,Financials
TYL,Tyler Technologies,Information Technology
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UBER,Uber,Industrials
UDR,"UDR, Inc.",Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UNP,Union Pacific Corporation,Industrials
UAL,United Airlines Holdings,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
UNH,UnitedHealth Group,Health Care
UHS,Universal Health Services,Health Care
VLO,Valero Energy,Energy
VTR,Ventas,Real Estate
VLTO,Veralto,Industrials
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon,Communication Services
VRTX,Vertex Pharmaceuticals,Health Care
VRT,Vertiv,Industrials
VTRS,Viatris,Health Care
VICI,Vici Properties,Real Estate
V,Visa Inc.,Financials
VST,Vistra Corp.,Utilities
VMC,Vulcan Materials Company,Materials
WRB,W. R. Berkley Corporation,Financials
GWW,W. W. Grainger,Industrials
WAB,Wabtec,Industrials
WMT,Walmart,Consumer Staples
DIS,Walt Disney Company (The),Communication Services
WBD,Warner Bros. Discovery,Communication Services
WM,Waste Management,Industrials
WAT,Waters Corporation,Health Care
WEC,WEC Energy Group,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower,Real Estate
WST,West Pharmaceutical Services,Health Care
WDC,Western Digital,Information Technology
WY,Weyerhaeuser,Real Estate
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary
WMB,Williams Companies,Energy
WTW,Willis Towers Watson,Financials
WDAY,"Workday, Inc.",Information Technology
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XYL,Xylem Inc.,Industrials
YUM,Yum! Brands,Consumer Discretionary
ZBRA,Zebra Technologies,Information Technology
ZBH,Zimmer Biomet,Health Care
ZTS,Zoetis,Health Care
